no,name
0,Titanic (1997)
1,E.T. the Extra-Terrestrial (1982)
2,The Wizard of Oz (1939)
3,Star Wars (1977)
4,The Lord of the Rings: The Return of the King (2003)
5,Snow White and the Seven Dwarfs (1937)
6,Terminator 2: Judgment Day (1991)
7,The Lion King (1994)
8,The Godfather (1972)
9,The Jesus Film (1979)
10,Jurassic Park (1993)
11,Raiders of the Lost Ark (1981)
12,Harry Potter and the Philosopher's Stone (2001)
13,The Shawshank Redemption (1994)
14,Schindler's List (1993)
15,The Dark Knight (2008)
16,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
17,Jaws (1975)
18,Fight Club (1999)
19,Pulp Fiction (1994)
20,Forrest Gump (1994)
21,Shrek (2001)
22,Transformers (2007)
23,Back to the Future (1985)
24,Citizen Kane (1941)
25,Psycho (1960)
26,The Sound of Music (1965)
27,Ben-Hur (1959)
28,Gone With the Wind (1939)
29,Saving Private Ryan (1998)
30,City of God (2002)
31,The Matrix (1999)
32,Braveheart (1995)
33,It's a Wonderful Life (1946)
34,Scarface (1983)
35,Seven Samurai (1954)
36,Casablanca (1942)
37,Gladiator (2000)
38,The Avengers (2012)
39,The Ten Commandments (1956)
